OBJECTID,MUNI_ID,MMSD_OWNER,MUNI_FEATURE_TYPE,RIM_ELEV,SIZE,STATUS,MUNI_OWNER,MMSD_FEATURE,YEAR_RECEIVED,NOTES,X_COORD,Y_COORD
152, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504940.495,435661.0857
153, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504649.243,435727.7003
154, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504662.14,435657.5246
155, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504649.906,435706.7657
156, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506062.287,436307.7664
157, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506504.835,436309.5798
158, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506350.343,436248.5326
159, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506091.872,436241.2141
160, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506056.089,435870.4487
161, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506923.613,436323.6785
162, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506940.064,435694.8139
163, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506939.843,435732.8155
164, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506938.78,435764.6944
165, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504340,435692.6253
166, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504327.711,435654.7005
167, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504340.269,435724.6049
168, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505061.479,436600.9857
169, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507638.652,431246.3179
170, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507376.827,430469.3349
171, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506048.053,430465.1019
172, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506024.577,430456.6922
173, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506131.784,430467.5012
174, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506738.138,430403.7202
175, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506028.068,430408.607
176, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506021.369,430439.414
177, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506020.129,430375.5231
178, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506006.263,430370.2137
179, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506425.729,430386.7986
180, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506740.637,430449.8766
181, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507378.089,430423.0617
182, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506654.285,430401.3439
183, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505751.205,430431.23
184, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506561.401,430445.3448
185, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505751.338,430378.7589
186, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505750.29,430370.0044
187, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505489.888,430367.6737
188, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505491.419,430425.2073
189, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505490.507,430379.9961
190, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507711.67,432099.1111
191, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511456.92,432900.2726
192, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511364.959,431867.7858
193, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511363.645,432048.4945
194, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511459.682,431846.8938
195, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511455.912,432253.6489
196, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510903.809,430612.2791
197, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509601.033,432059.2871
198, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509148.182,431887.2914
199, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510954.293,433169.9194
200, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510999.45,433216.5476
201, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511109.73,433218.8179
202, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511171.012,433198.1401
203, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511358.075,432652.3
204, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511331.829,432724.8688
205, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511320.6,432725.8625
206, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511425.049,430305.7853
207, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511416.983,430325.0471
208, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511356.949,430325.7381
209, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512184.863,430584.6204
210, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512207.361,430143.5744
211, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512162.493,430116.4727
212, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512117.607,430086.6621
213, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512307.489,429800.3598
214, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511353.708,430063.9984
215, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509750.089,430481.7013
216, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509748.397,430570.1227
217, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509748.939,430542.278
218, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509516.621,430476.3506
219, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509203.283,430530.614
220, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509175.311,430566.1887
221, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509077.597,430434.0866
222, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509117.112,430462.992
223, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508782.871,430242.505
224, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508689.819,430453.3904
225, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509344.419,430441.3287
226, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509114.907,430528.3174
227, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509315.707,430469.1863
228, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509315.063,430531.8974
229, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509516.217,430536.8065
230, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509135.644,430568.5118
231, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508717.618,430550.6881
232, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508691.53,430517.6888
233, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508717.322,430425.6788
234, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508782.328,430428.5033
235, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508782.008,430547.5178
236, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509988.868,428213.8427
237, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510179.861,433866.6463
238, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510028.867,433864.3803
239, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509942.752,435778.9161
240, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509906.219,435739.2666
241, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509847.577,435737.1738
242, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509568.903,434019.666
243, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509533.218,434018.8094
244, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511116.76,435364.5098
245, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511054.43,435275.6898
